31	4.14542	1	3	-0.000285155
31	4.14542	1	4	-7.6935e-005
31	4.14542	1	5	-6.97e-006
31	4.14542	2	2	-0.00078176
31	4.14542	2	3	-0.00041924
31	4.14542	2	4	-8.434e-005
31	4.14542	2	5	-7.215e-006
31	4.14542	3	3	-0.00018373
31	4.14542	3	4	-3.408e-005
31	4.14542	3	5	-2.76e-006
31	4.14542	4	4	-4.01e-006
31	4.14542	4	5	-2.8e-007
31	4.14542	5	5	-1e-008
32	4.20776	1	1	-0.00109
32	4.20776	1	2	-0.00109
32	4.20776	1	3	-0.000334595
32	4.20776	1	4	4.9415e-005
32	4.20776	1	5	4.305e-006
32	4.20776	2	2	0.00086827
32	4.20776	2	3	0.00109
32	4.20776	2	4	0.00038293
32	4.20776	2	5	3.5465e-005
32	4.20776	3	3	0.0009337
32	4.20776	3	4	0.0002583
32	4.20776	3	5	2.408e-005
32	4.20776	4	4	5.748e-005
32	4.20776	4	5	5.45e-006
32	4.20776	5	5	5.1e-007
33	4.2692	1	1	0.00020663
33	4.2692	1	2	0.00035794
33	4.2692	1	3	0.000173925
33	4.2692	1	4	-2.457e-005
33	4.2692	1	5	-2.84e-006
33	4.2692	2	2	-0.00029764
33	4.2692	2	3	-0.000449275
33	4.2692	2	4	-0.00014233
33	4.2692	2	5	-1.211e-005
33	4.2692	3	3	-0.00046548
33	4.2692	3	4	-0.00010844
33	4.2692	3	5	-8.93e-006
33	4.2692	4	4	-1.103e-005
33	4.2692	4	5	-7.5e-007
33	4.2692	5	5	-4e-008
34	4.32975	1	1	-0.00054402
34	4.32975	1	2	0.00042801
34	4.32975	1	3	0.000523445
34	4.32975	1	4	0.0001963
34	4.32975	1	5	1.7095e-005
34	4.32975	2	2	0.00132
34	4.32975	2	3	0.00078617
34	4.32975	2	4	0.000155145
34	4.32975	2	5	1.401e-005
34	4.32975	3	3	0.0003646
34	4.32975	3	4	3.7485e-005
34	4.32975	3	5	3.63e-006
34	4.32975	4	4	-1.291e-005
34	4.32975	4	5	-1.08e-006
34	4.32975	5	5	-9e-008
35	4.38948	1	1	0.00065043
35	4.38948	1	2	8.0465e-005
35	4.38948	1	3	-0.000233675
35	4.38948	1	4	-0.000118565
35	4.38948	1	5	-1.079e-005
35	4.38948	2	2	-0.00095807
35	4.38948	2	3	-0.000747185
35	4.38948	2	4	-0.00016928
35	4.38948	2	5	-1.572e-005
35	4.38948	3	3	-0.00044566
35	4.38948	3	4	-7.245e-005
35	4.38948	3	5	-6.87e-006
35	4.38948	4	4	-4.81e-006
35	4.38948	4	5	-5.3e-007
35	4.38948	5	5	-5e-008
36	4.4484	1	1	-8.39e-005
36	4.4484	1	2	-0.000407965
36	4.4484	1	3	-0.000226765
36	4.4484	1	4	1.0945e-005
36	4.4484	1	5	1.3e-007
36	4.4484	2	2	-0.00012705
36	4.4484	2	3	0.000169805
36	4.4484	2	4	4.766e-005
36	4.4484	2	5	1.47e-006
36	4.4484	3	3	0.00027164
36	4.4484	3	4	3.304e-005
36	4.4484	3	5	1.13e-006
36	4.4484	4	4	-1.049e-005
36	4.4484	4	5	-1.28e-006
36	4.4484	5	5	-1.5e-007
